ticker
SPY
QQQ
AAPL
TSLA
MSFT
NVDA
AMZN
GOOGL
META
AMD
NFLX
INTC
BA
BABA
SHOP
MU
TSM
UBER
SOFI
PYPL
COIN
JPM
XLF
XLE
XLY
XLP
XLI
XLV
XLC
XLU
ARKK
TLT
IWM
DIA
GLD
SLV
TQQQ
SQQQ
RIVN
DKNG
PLTR
PFE
DIS
CSCO
CRM
ABNB
BIDU
MRNA
WMT
NIO
